1, (A) 1. Looking for urgent: Check Calendar and reminders and notebooks  @singleton +PlanningAndTracking
1, (A) 1a. 1L of Water @singleton +Health
1, (B) 1. Exercise @singleton +Exercise
1, (C) 1. Process Email @singleton +Overhead
1, (C) 2. Switch to live account and start streaming +EQT @singleton
3, (E) Floss +Health
3, (E) Vitimin Tablet +Health
4, (E) Check Desktop Tracker is working +Overhead
4, (E) Check Voicemail  +Overhead
4, (E) Update Goodreads with the current book and your progress +Overhead
4, (E) Check that everything in the 'in process' box really does have a task+Overhead
4, (E) Check the bike 'go bag'+Overhead
4, (D) Do full accounts algorithm +EQT
7, (E) Confirm plans for next two weekends.+Overhead
4, (E) Look at list of topics and ring §e:U2FsdGVkX19WbLrOTMYO0bkqz6MOP/OQe8b1WJ4GTb0=§ +Family
4, (E) Open and log progress on the bid status document +EQT
4, (E) Save a nice family memory +Family
4, (E) Swimming and climbing gear should be in the car +Overhead
4, (E) Make an Entry in the Mind Map
4, (E) Use Face strip +Health
4, (E) Write a letter to Nova +Family
4, (E) Ping §e:U2FsdGVkX1+EsHAGTPwo87cBt8j8EPuzlDY3tRCzIt0=§ +Overhead
7, (E) Check the last time §e:U2FsdGVkX18e4dSc7UPajr6opVoESIiCeqyZawbCs2Q=§ called you +Family
7, (E) Check team cooper visit dates: every two weeks  +Family
7, (E) Check the next school time +EQT
7, (E) Add two bags to the car for clearning/carring out +EQT
7, (E) Contact §e:U2FsdGVkX18YzL62ZWaIGXGiMMQ+Iuvx81cvznpIv1k=§ for advice about something
7, (E) Cut nails +Health
7, (E) Empty crate completely +Overhead
7, (E) Go thought calendar and find at least one 'thank you's  you *can* make  +Overhead
7, (E) Go through phone and save all of the numbers +Overhead
7, (E) Go through the shared reminder list with Heart +Family
7, (E) Log weight +Health
7, (E) Make sure paper crane is in bathroom +Family
7, (E) Post to Sibling Facebook group
7, (E) Post to WWW facebook page +EQT
7, (E) Remind Kat to do Nova's menu +Family
7, (E) Review all projects in github +Overhead
7, (E) Review yearly goals +Overhead
7, (E) Trim nose hair +Health
7, (E) Video call with Kat family +Family
7, (E) Wash sheets and towels +Family
15, (E) Refresh the lavender in Nova's room  +Family
7, (E) Ping §e:U2FsdGVkX1/ZOza9Gbrgx1bk2idcEgeOzlyFTiiQZJ8=§
7, (E) Ping §e:U2FsdGVkX18wvyZgaBm7qL030pO3AX6Ap00h5nN5P5E=§
7, (E) Send §e:U2FsdGVkX1/72lGetKtb+aA4f5GuVhmjwuldWf83EF4=§ the giff of he liked
7, (E) Ping §e:U2FsdGVkX1/RNYEadGSmLWysIhNm+b/zfD2D5LtKD0M=§
7, (E) Publicly thank someone +Overhead
8, (E) Learn something new about vim in http://learnvimscriptthehardway.stevelosh.com/chapters/10.html +EQT
9, (E) Ping §e:U2FsdGVkX1/vPg9MWC5w4TnEPWNrJAuZ/9nCzFLVKq4=§
9, (E) Say something nice to §e:U2FsdGVkX19Ip+vDNLNXjc5ug09rco/U9QXHDqaAZqo=§
9, (E) Do something genuinely nice for §e:U2FsdGVkX1/jHkQjxS8m0DEs/epwc3SIRl2yYxHMBzc=§ +Family
10, (E) Check the firebreak in: whatsapp and facebook and and twitter. +Overhead
10, (E) Check the 'to put in Evernote' folder and add to database +Overhead
12, (E) Ping §e:U2FsdGVkX18/xDtjwjLnkymaYCmTsUyg4eZ1WFjtgz0=§
15, (E) Ping §e:U2FsdGVkX1/0apnnauRPI2LtbPyTX5c18ApK7oTVtyk=§
15, (E) Ping §e:U2FsdGVkX1+2sCINV5b6K1KSUcMaZeU8RehzZpTXQ5c=§
15, (E) Open list of projects to be funded +EQT
15, (E) Search for funding for eQuality Time Projects +EQT
15, (E) Check £40 in Wallet +Overhead
30, (E) Ping §e:U2FsdGVkX18kCS8P6azgRlBGROHuszzEO3c9cPs4KcM=§
30, (E) Go though https://www.facebook.com/joe.reddington/friends_with_unseen_posts and make a connection with each person.
30, (E) Give laptop screen a good clean +Overhead
30, (E) Make workstation spotless +Overhead
30, (E) Backup Dreamhost +EQT
30, (E) Send Trustees something nice about outcomes +EQT
30, (E) Review facebook theory of change
30, (E) Download the amazon months sales figures +EQT
30, (E) Check if there are any moonpig cards to send this month +Overhead
30, (E) Check ranking scripts +Overhead
30, (E) Review your highlights and notes from Kindle books +Overhead
30, (E) Review starred items in feeds +Overhead
30, (E) TSE +Health
30, (E) If back on sugar then start sugar project +Health
30, (E) Ring up every funder currently funding you and be nice to them and check you have all of your paperwork and everything else. Make sure that you are a pleasure to work with. That way they fund you again +EQT
30, (E) Arrange to see §e:U2FsdGVkX1+CdjDvzorpn6gqbv9OgwzT/wXTpMNKWc4=§
30, (C) Check birthday cards list
30, (E) Grant terms generally mean that every director has to have seen all of the paperwork: make sure tey have +EQT
30, (E) Review (days since) app counts +Overhead
30, (E) Make sure the only things on 'Reminders' are adendas for lists coming up +Overhead
60, (E) Listen to  Randy Pausch Talk +Overhead
120, (E) Work out the last time you changed your mind (and can you blog about it) +Overhead
120, (E) Ask for testimonal from completed fundings
120, (E) Spend 20 minutes or so considering the fruits of long term goals +Overhead
120, (E) Go though documents folder and put everything you want to save in dropbox.
180, (E) Look at the funding and prize things you were refused for last year and see if you can still apply +EQT
200, (E) Get Flu vaxine +Health
